Model Year,Labor Hours, Labor hours adjusted to .4 per sensor , Material Cost adjusted to 64.47 per sensor , Part MarkUp Adjusted to 18.42 per sensor , Misc. Amt (total) , Custom Column , Customer Paid Amount , Repair Dealer Paid Amount , Total Cost Gross ,Claim Key,VIN,Repair Dealer Code,Document Number,Part Num Full OB (Causal),Part Num Prefix (Causal),Part Num Base (Causal),Part Num Suffix (Causal),Vehicle Line AWS,Mileage,Load Date,Repair Date,Repair Dealer State,Country Repaired,Region Repaired,Production Date,Warranty Start Date,Country Sold,Customer Concern Code,Customer Comments,Condition Code,Technician Comments,Part Install Date,Transaction Code,Part Quantity, Original Labor Cost , Original Material Cost , Original Part MarkUp Adjusted to 18.42 per sensor ,SUPPLIER DISPUTES VALIDITY?,Supplier A DISPUTE REASON,,"Time In Service
(in years)",,,,,,,,,,,,,,,,,,
2021,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7705071,3FMCR9B66MRA48905,4615,124262B,F2GZ-1A189-A,F2GZ,1A189,A,M4,33599,03-Apr-23,21-Mar-23,FL,USA,NA,26-Mar-21,29-May-21,USA,A40,D/R TPMS SENSOR WILL RANDOMLY LOSE CONNECTIONPLEASE C HECK.,42,UPON INSPECTION FOUND THAT THE DRIVER REAR SENSOR WAS RANDOMLY LOSING COMMUNICATION WITH THE VEHICLE. AFTER DIAG FOUND THAT THE SENSOR WAS NOT PROPERLY COMMUNICATING WITH THE VEHICLE. TPMS SENSOR WAS FAULTY REPLACED 246 972,01-JAN-0001,E84,1, $71.98 , $95.06 , $49.07 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,1.810958904,,,,,,,,,,,,,,,,,,
2019,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,14053303,3LN6L5C92KR629623,3269,7688403,HC3Z-1A189-A,HC3Z,1A189,A,ZP,38816,09-Mar-23,08-Mar-23,MN,USA,NA,30-May-19,22-Aug-19,USA,A40,"CUSTOMER STATES-TIRE PRESSURE SENSORS NOT WOK ING, ALWAYS ON",42,"CONFIRMED CUSTOMER CONCERN-TPMS LIGHT ON. ADJUSTED AIR PRESSURES TO CORRECT PRESSURE, TRIED RELEARING SENSOR. RIGHT REAR SENSOR NOT ERELEARNING. RECOMMEND REPLACING RIGHT REAR SENSOR/ REPLACED RIGHT REAR SENSOR, RETEST-TST GOOD. ALL SENSORS READING PROPERLY.",01-JAN-0001,E84,1, $59.82 , $94.65 , $48.66 ,,,,3.545205479,,,,,,,,,,,,,,,,,,
2021,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7224659,3FMCR9D93MRB06900,3269,7600106,F2GZ-1A189-A,F2GZ,1A189,A,M4,29265,21-Feb-23,06-Feb-23,MN,USA,NA,21-Jul-21,27-Aug-21,USA,A40,CUSTOMER STATES TIRE SENSOR LIGHT ON,42,CUSTOMER STATES TIRE SENSOR LIGHT ON Not a repeat repair. This repair was for the right rear sensor. Previous repair was on the rear left wheel.,01-JAN-0001,E84,1, $59.82 , $94.65 , $48.66 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,1.446575342,,,,,,,,,,,,,,,,,,
2021,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7909748,3FMTK3SU8MMA07950,7749,303120I,F2GZ-1A189-A,F2GZ,1A189,A,ZE,21615,24-Apr-23,17-Apr-23,CA,USA,NA,11-Dec-20,18-Feb-21,USA,A40,CUST.STATES TIRE PRESSURE SENSOR WARNING ON SCREEN CHECK AND ADVISE,42,"UPON RETRAINING TIRE SENSORS AFTER COMPLETION OF TIRE REPLACEMENT, FOUND THAT THE RIGHT FRONT TIRE SENSOR WAS BAD/DEAD, REPLACED SENSOR AND VALVE STEM WITH NEW, REINSTALLED TIRE ON RIGHT FRONT AND WAS ABLE TO RETRAIN ALL SENSORS, TEST DROVE AFTER .",01-JAN-0001,E84,1, $86.21 , $94.42 , $48.43 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,2.15890411,,,,,,,,,,,,,,,,,,
2022,0.6, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,3011151,3FMCR9D97NRE11138,8990,9074803,F2GZ-1A189-A,F2GZ,1A189,A,M4,3281,07-Apr-23,04-Apr-23,MA,USA,NA,29-Aug-22,08-Oct-22,USA,A40,CUSTOMER STATES THE LEFT REAR TIRE SENSOR IS INOP. PLEASE CHECK AND ADVISE,42,VERIFIED CONCERN PERFORMED RELEARN TO ALL SENSORS AND LEFT REAR WOULD NOT RELEARN. REPLACED SENSOR AND TRAINED ALL. CUSTOMER`S CONCERN RESOLVED,01-JAN-0001,1,1, $99.63 , $94.37 , $48.38 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,0.487671233,,,,,,,,,,,,,,,,,,
2022,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,2837359,3FMCR9B6XNRD43295,5291,23876902,F2GZ-1A189-A,F2GZ,1A189,A,M4,9405,22-Mar-23,17-Mar-23,GA,USA,NA,12-Mar-22,28-Apr-22,USA,A40,C/S CHECK TIRE PRESSURE SENSOR UPON INSPECTION TECHNICIAN FOUND TPMS SENSOR,42,BAD REPLACE TPMS SENSOR,01-JAN-0001,1,1, $57.60 , $94.23 , $48.24 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,0.884931507,,,,,,,,,,,,,,,,,,
2021,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7082399,3FMTK3R76MMA03119,4809,15783701,F2GZ-1A189-A,F2GZ,1A189,A,ZE,26471,07-Feb-23,06-Feb-23,FL,USA,NA,16-Dec-20,11-Feb-21,USA,A40,TIRE PRESSURE NOT READING ON L.R. TIRE,42,"TRIED TO RETRAIN ALL FOUR TPMS WITH ROTUNDA TRAINER FOUND LEFT REAR TPMS INOP REPLACED LEFT REAR TPMS, RETRAINED AND VERIFIED REPAIR",01-JAN-0001,E84,1, $72.40 , $93.77 , $47.78 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,1.98630137,,,,,,,,,,,,,,,,,,
2022,0.5, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,2479026,1FT7W2BN0NEC27135,4932,234838E,HC3Z-1A189-F,HC3Z,1A189,F,F7,11100,16-Feb-23,15-Feb-23,FL,USA,NA,05-Aug-21,26-Aug-21,USA,A40,TPMS FAULT LIGHT/MESSAGE ON DASH,42,DRIVER SIDE REAR TIRE PRESSURE SENSOR NOT READING. REPLACED SENSOR.,01-JAN-0001,E84,1, $59.46 , $93.64 , $47.65 ,,,,1.473972603,,,,,,,,,,,,,,,,,,
2020,0.7, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,10869024,3FA6P0LU1LR148981,5524,533834A,HC3Z-1A189-F,HC3Z,1A189,F,DH,23088,20-Mar-23,16-Mar-23,CA,USA,NA,06-Jan-20,14-Feb-21,USA,A40,ADVISE TIRE PRESSURE SENSOR WARNING LIGHT IS COMING O N,42,"VERIFIED CONCERN. NO DTCS. NO TSBS, SSMS, GSBS. PERFORMED PPT E PER SYMPTOM CHART. E1, NO. E3, NO. E4, NO. E5, YES. E6, NO, REPLACE TPMS. UNMOUNTED VEHICLE TIRE AND REPLACED TPMS. PERFORMED TIRE TRAINING PROCEDURE. SYSTEM OPERATING NORMAL.",01-JAN-0001,E84,1, $112.00 , $93.59 , $47.60 ,,,,2.082191781,,,,,,,,,,,,,,,,,,
2022,0.7, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,3176929,1FT8W3BT2NED34180,7820,998435F,HC3Z-1A189-F,HC3Z,1A189,F,F7,22018,26-Apr-23,25-Apr-23,CA,USA,NA,25-Jan-22,21-Feb-22,USA,A40,TECHNICIAN RECOMMENDS REPLACE LEFT REAR TIRE PRESSURE MONITORING SENSOR,42,"REMOVED WHEEL FROM VEHICLE, TOOK TO TIRE MACHINE AND REMOVED TIRE, REMOVED TPMS SENSOR, INSTALLED NEW TPMS SENSOR, RETRAINED SENSORS, SYSTEM OK NOW",01-JAN-0001,E84,1, $155.75 , $93.54 , $47.55 ,,,,1.17260274,,,,,,,,,,,,,,,,,,
2022,0.5, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,3017309,1FT8W2BT1NEG13520,7820,996666B,HC3Z-1A189-F,HC3Z,1A189,F,F7,2074,10-Apr-23,01-Apr-23,CA,USA,NA,07-Oct-22,11-Feb-23,USA,TB6,CUSTOMER STATES LEFT FRONT VALVE STEM LEAKING INSPECT AND ADVISE,42,"INSPECTED VEHICLE FOR CUSTOMER CONCERN, FOUND VALVE STEM LEAKING CAUSING TIRE TO LOSE PRESSURE, REC REPLACE LEFT FRONT TIRE VALVE STEMP KIT, REPLACED LEFT FRONT TIRE VALVE. REPAIR VER IFIED.",01-JAN-0001,1,1, $111.25 , $93.54 , $47.55 ,X,"Dealer report of TPM sensors leaking from around the valve stem typically indicates either improper installation to the wheel at the Ford Assembly Plant, damage by the customer during maintenance, or unapproved, aftermarket valve stem caps installed with a dissimilar metal that causes corrosion of the valve stem (non-supplier responsible).",,0.134246575,,,,,,,,,,,,,,,,,,
2020,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,11072962,1FA6P8TH7L5189376,7785,916975B,F2GZ-1A189-A,F2GZ,1A189,A,ZA,34027,13-Apr-23,12-Apr-23,FL,USA,NA,19-Nov-20,13-Mar-21,USA,A40,CUSTOMER STATES THAT THE TIRE PREASURE LIGHT IS ON,42,"VERIFIED CUSTOMER CONCERN. WHEN TRAINING TIRES RR WOULD NOT READ. REPLACED RR SENSOR, AND NOW ALL 4 SENSORS READ.",01-JAN-0001,E84,1, $62.05 , $92.72 , $46.73 ,,,,2.082191781,,,,,,,,,,,,,,,,,,
2022,1, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,2552282,1FT8W3BT3NED33653,7785,914565B,HC3Z-1A189-F,HC3Z,1A189,F,F7,15680,23-Feb-23,22-Feb-23,FL,USA,NA,24-Mar-22,19-Apr-22,USA,A40,ELECTRICAL CUSTOMER STATES TPMS LIGHT IS STAYING ON HAS BEEN RESET,42,"TIRE PRESSURES ADJUSTED TO SPEC. 60 PSI FRONT AND 70 PSI REAR. EEC TEST PERFORMED. B124D:02. ELECTRICAL DIAGNOSTIC AND PINPOINT TEST C PERFORMED. LIFT ACCESS GAINED. FX4. TPMS SENSOR TRAINING PERFORMED. ALL SENSORS TRAINED AND READING AT PRESENT. CONTACTED CUSTOMER FOR ADDITIONAL INFORMATION REGARDING PRESSURE READINGS AT TIME OF CONCERN. RETESTED SYSTEM AND FOUND L/FRONT TPMS FAULT. REMOVED WHEEL, DISMOUNTED AND REPLACED FAULTY SENSOR. REASSEMBLED AND BALANCED. REINSTALLED AND TRAINED SENSORS. CLEARED CODE.",01-JAN-0001,E84,1, $155.14 , $92.72 , $46.73 ,,,,0.846575342,,,,,,,,,,,,,,,,,,
2020,0.5, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,10881132,1FTER4FH2LLA69999,4841,521770C,HC3Z-1A189-F,HC3Z,1A189,F,R2,17302,21-Mar-23,20-Mar-23,MI,USA,NA,12-Aug-20,14-Sep-20,USA,A40,TPMS LIGHT ON DASH,42,TPMS SENSOR WENT BAD SO SENSOR WAS REPLACED AND AT THIS TIME OK,01-JAN-0001,E84,1, $116.38 , $92.49 , $46.50 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,2.512328767,,,,,,,,,,,,,,,,,,
2020,1.1, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,10736816,1FTBF2B62LED24658,4022,7527402,HC3Z-1A189-F,HC3Z,1A189,F,F7,26017,06-Mar-23,24-Feb-23,SD,USA,NA,04-Mar-20,26-Oct-20,USA,A40,C/S TIRE SENSOR FAULT LIGHT ON RIGHT REAR NOT SHOWING PRESSURE VERIFY CONCERN.,42,CHECK DTC=B124D:02 TIRE PRESSURE SENSOR GENERAL SIGNAL FAILURE OASES=NO APPLICABLE TSB/SSM/FSAPPT C1-YES C2-YES PASSENGER REAR SENSOR DOESNOT RESPOND. PASSENGER REAR TPM SENSOR FAILUEREPLACE RIGHT REAR TPMS AND BALANCE TIRETRAIN TPMS=PASSCLEAR DTC NO TPMS WARNING LIGHTS ALL SENSORSSHOW PRESSURE,01-JAN-0001,E84,1, $144.10 , $92.39 , $46.40 ,,,,2.331506849,,,,,,,,,,,,,,,,,,
2022,1, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,3154466,1FT8W3DT8NED72395,7594,1002694,HC3Z-1A189-F,HC3Z,1A189,F,F7,9175,24-Apr-23,21-Apr-23,TX,USA,NA,21-Mar-22,08-Apr-22,USA,A40,CHECK TPMS NOT WORKING PROPERLY,42,CANT GET TO DUPLICATE HOTLINE RESPOND WAS TO GO BACK THRU PPT C AGAIN C1 Y C2 Y C3 N C4 N C5 N DIRECTED TO PPT E1 N E2 N REPLACE RF TIRE SENSOR RETRAIN RETEST PASS,01-JAN-0001,E84,1, $144.66 , $92.16 , $46.17 ,,,,1.035616438,,,,,,,,,,,,,,,,,,
2020,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,10580948,3FA6P0HD5LR253662,6723,027789B,HC3Z-1A189-F,HC3Z,1A189,F,DE,31103,16-Feb-23,10-Feb-23,NC,USA,NA,15-Jun-20,31-Jul-20,USA,A40,CUSTOMER STATES TIRE PRESSURE LIGHT IS ON,42,TEST LR SENSOR TESTED BAD REMOVED AND REPLACED LR SENSOR,01-JAN-0001,E84,1, $64.00 , $92.03 , $46.04 ,,,,2.531506849,,,,,,,,,,,,,,,,,,
2020,0.8, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,11078421,1FT7W2A61LED10113,4927,10744403,HC3Z-1A189-F,HC3Z,1A189,F,F7,33190,14-Apr-23,22-Feb-23,GA,USA,NA,20-Feb-20,02-May-20,USA,A40,CUSTOMER STATES THAT THE TPMS LIGHT IS FLASHING CHECK AND ADVISE,42,VERIFIED CUSTOMER CONCERN DID NOT FIND NO TSB/SSM PERFORMED PPT G1 AND G2 FOUND RIGHT FRONT TPMS AT FAULT TOOK TIRE OFF DID NOT FIND ANYTHING OUT SIDE ARE INSIDE TIRE THAT WOULD DAMAGE TPMS SENSOR REPLACED RIGHT REAR TPMS SENSOR REPROGRAMMED TIRES VERIFIED REPAIR,01-JAN-0001,E84,1, $99.65 , $91.98 , $45.99 ,,,,2.810958904,,,,,,,,,,,,,,,,,,
2021,0.7, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7170278,3FMTK3SU5MMA03872,4927,10380902,F2GZ-1A189-A,F2GZ,1A189,A,ZE,11973,15-Feb-23,23-Dec-22,GA,USA,NA,09-Jan-21,23-Feb-21,USA,A40,"CUSTOMER STATES TPMS LIGHT IS ON, SHOWING RIGHT FRONT TIRE LOW. CHECK AND ADVISE",42,"REPLACED TPMS SENSOR PERFORMED PIN POINT TEST E (E1- E5) E1 CHECKED TIRE PRESSURE, E2 RUN SELF TEST NO DTC CODES, E3 NO SPADE TIRE, E4 CALIBRATED ALL 4 TIRES, E5 REPLACE RIGHT FRONT TPMS SENSOR. CALIBRATED NEW SENSOR, TPMS LIGHT IS OFF",01-JAN-0001,E84,1, $87.19 , $91.98 , $45.99 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,1.830136986,,,,,,,,,,,,,,,,,,
2021,0.6, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7217226,1FA6P8TH5M5151209,9699,304443A,F2GZ-1A189-A,F2GZ,1A189,A,ZA,7547,20-Feb-23,16-Feb-23,FL,USA,NA,21-Dec-21,08-Feb-22,USA,A40,MISC CUST STATES TIRE LIGHT ON PLEASE CHECK AND ADVIS E,42,"VERIFIED TIRE LIGHT ON,INSPECTED ALL FOUR TIRES CHECKED ALL TIRE MONITERS AND FOUND THE LEFT FRONT TIRE PRESSURE MONITER INOP REPLACED TIRE SENSOR RECHECKED SYSTEM ALL OK",01-JAN-0001,E84,1, $93.63 , $91.98 , $45.99 ,,,,1.021917808,,,,,,,,,,,,,,,,,,
2022,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,3018762,3FMTK1RM5NMA17573,5556,25797801,F2GZ-1A189-A,F2GZ,1A189,A,ZE,3887,10-Apr-23,01-Apr-23,CA,USA,NA,01-Mar-22,22-Apr-22,USA,A40,CUSTOMER REPORTS THE TIRE PRESSURE SENSOR FAULT WARNING IS ON. SHOWS DRIVER SIDE REAR.,42,"DRIVER SIDE REAR DOES NOT TRAIN, GONNA RECOMMEND A NEW ONE AND SET PSI TO SPEC, REPLACED TPMS AND RETRAINED",01-JAN-0001,1,1, $73.27 , $91.93 , $45.94 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,0.942465753,,,,,,,,,,,,,,,,,,
2022,0.5, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,3027745,1FT8W2BT4NEC38593,3297,5413551,HC3Z-1A189-F,HC3Z,1A189,F,F7,7665,11-Apr-23,06-Apr-23,CO,USA,NA,02-Aug-21,29-Sep-21,USA,TB6,VALVE STEM CUT AND LEAKING.,30,"VALVE STEM HAD A SPLIT AT THE BASE, AND LEAKING AIR. NO OBVIOUS OUT SIDE INFLUENCE OR INSTALLATION ISSUES. REPLACED VALVE STEM",01-JAN-0001,E84,1, $89.00 , $91.84 , $45.85 ,X,"Dealer report of TPM sensors leaking from around the valve stem typically indicates either improper installation to the wheel at the Ford Assembly Plant, damage by the customer during maintenance, or unapproved, aftermarket valve stem caps installed with a dissimilar metal that causes corrosion of the valve stem (non-supplier responsible).",,1.517808219,,,,,,,,,,,,,,,,,,
2021,0.5, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7459352,1FTER4FH4MLD73868,1691,30652601,ML3Z-1A189-B,ML3Z,1A189,B,R2,18439,13-Mar-23,10-Mar-23,AL,USA,NA,26-Aug-21,09-Oct-21,USA,A40,INSPECTION TIRE PRESSURE SENSOR FAULT,42,"SET TIRE PRESSURES, ATTEMPT TO RETRAIN ALL SENSORS, DRIVER FRONT WILL NOT RESET REPLACED DRIVER FRONT TIRE PRESSURE SENSOR",01-JAN-0001,E84,1, $91.93 , $91.84 , $45.85 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,1.416438356,,,,,,,,,,,,,,,,,,
2022,0.5, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,2548075,1FT7W2B67NEF44970,733,15187502,HC3Z-1A189-F,HC3Z,1A189,F,F7,1380,23-Feb-23,22-Feb-23,PA,USA,NA,11-Sep-22,15-Dec-22,USA,A40,TIRE REPAIR C/S TIRE PRESSURE WARNING LIGHT sensor fault.,42,tire sensor fault light on cc42 scanned all 4 tires left front tpms is bad recommend new tpms installed new tpms left front rescanned all 4tpms are good,01-JAN-0001,1,1, $59.64 , $91.70 , $45.71 ,,,,0.189041096,,,,,,,,,,,,,,,,,,
2022,0.8, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,2394174,1FT8W3BT5NEF46619,7208,8808401,*-1A189-*,*,1A189,*,F7,3040,08-Feb-23,08-Feb-23,CO,USA,NA,11-Sep-22,13-Dec-22,USA,A40,PERFORM AND FILL OUT VEHICLE INSPECTION REPORT CUSTOMER STATES TPMS LIGHT ON SET TIRE PRESSURE PROGRAM TPMS,42,"CP:1A189 Concern verified. Pinpoint test E1 performed. No, RF TPMS did not retrain. E2, no RF still did not train. Verified correct sensor installed. TPMS sensor replaced. Repair verified. All okay at this time.",01-JAN-0001,1,1, $139.98 , $91.66 , $45.67 ,,,,0.156164384,,,,,,,,,,,,,,,,,,
2021,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7661903,1FA6P8SJ4M5503670,4741,12270301,F2GZ-1A189-A,F2GZ,1A189,A,ZA,20118,30-Mar-23,29-Mar-23,IN,USA,NA,23-Nov-21,22-Dec-21,USA,A40,c/s warning light came on (pressure light tpms),42,Replaced tpms sensor (left rear),01-JAN-0001,E84,1, $59.20 , $91.43 , $45.44 ,,,,1.265753425,,,,,,,,,,,,,,,,,,
2022,0.7, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,2620876,3FMCR9B6XNRE15547,5393,186109A,F2GZ-1A189-A,F2GZ,1A189,A,M4,1709,01-Mar-23,25-Feb-23,HI,USA,NA,10-Oct-22,19-Jan-23,USA,A40,"CUSTOMER STATES: REFER TO RO185734, AFTER PERFORMING TIRE PATCH NOTICE TPMS SENSOR NOT READING. PERFORM CORRECTION",42,REMOVED TIRE TO CHECK THE TPMS TPMS IS INTACT BUT REMOVED IT TO CHECK FOR ANY SHORTS FOUND TPMS INTERNALLY SHORT AND REPLACED THE TPMS RETRAIN THE TPMS SENSORS AND THE RIGHT REAR NOW RESPONDS TO THE TPMS TRAINING PROCEDURE-,01-JAN-0001,1,1, $135.81 , $91.20 , $45.21 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,0.101369863,,,,,,,,,,,,,,,,,,
2020,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,10866723,3FA6P0HD9LR179405,2676,184325B,HC3Z-1A189-F,HC3Z,1A189,F,DE,29616,20-Mar-23,17-Mar-23,MI,USA,NA,05-Feb-20,10-Jul-20,USA,A40,TIRE LIGHT IS ON,42,"UPON INSPECTION LR SENSOR FAILING TO TRAIN ATTEMPT TO RETRAIN TPMS, LR SENSOR FAILED REPLACED TIRE SENSOR",01-JAN-0001,E84,1, $53.52 , $91.01 , $45.02 ,,,,2.684931507,,,,,,,,,,,,,,,,,,
2022,0.6, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,2914815,3FMCR9B61NRD38549,8606,80526401,F2GZ-1A189-A,F2GZ,1A189,A,M4,7205,29-Mar-23,27-Mar-23,WA,USA,NA,25-Mar-22,17-Apr-22,USA,A40,"QUICK SERVICE REPAIR QUICK SERVICE REPAIR C/S NEEDS THE TPMS TO BE RESET AND POSSIBLY DO A RELEARN OF THE SENSORS, SOP HERE RO 804035,",42,"AS PER RO 804035, Tech:148- put vehicle in tpms training mode driver front tire and passenger rear would not train. tpms light is flashing not solid indicating fault Repair 606- based on previous diag, placed vehicle on lift, removed driver rear wheel, debead tire from wheel, removed and replaced driver rear TPMS sensor, inflated tire to 33 psi, install wheel retrained tpms sensors and TPMS light is off. opt code 1552AA 0.40 hours",01-JAN-0001,1,1, $103.35 , $90.97 , $44.98 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,0.942465753,,,,,,,,,,,,,,,,,,
2020,0.7, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,11126206,3LN6L5E93LR605751,11479,2169302,HC3Z-1A189-F,HC3Z,1A189,F,ZP,43191,20-Apr-23,20-Apr-23,FL,USA,NA,12-Sep-19,21-Jul-20,USA,A40,TIRE PRESSURE SENSOR FAULT MESSAGE IS ON,42,FOUND R/R TPMS SENSOR INTERNALLY FAILED VERIFIED CUSTOMERS CONCERN FOUND RR TPMS SENSOR INTERNALLY FAILED. REMOVED AND REPALCED. VERIFIED REPAIR OK,01-JAN-0001,E84,1, $154.84 , $90.88 , $44.89 ,,,,2.747945205,,,,,,,,,,,,,,,,,,
2021,0.6, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7768889,3FMTK3RM3MMA35726,8660,39280701,F2GZ-1A189-A,F2GZ,1A189,A,ZE,27577,10-Apr-23,07-Apr-23,FL,USA,NA,31-May-21,10-Jul-21,USA,A40,"C/S TIRE PRESSURE SENSOR INOP C/A TESTED SENSORS IN THE SERVICE DRIVE FOUND THE DRIVERS REAR SENSOR OUT, PLEASE VERIFY",42,"VERIFIED FAULT LIGHT IS ON, HOOKED UP IDS AND SCANNED FOR CODES, PERFORMED TEST FOUND ONE TIRE PRESSURE SENSOR FAULTY, REPLACED TPMS ON THE DRIVER REAR WHEEL. INITIALIZED TPMS SENSORS, TEST DROVE VEHICLE, VERIFIED CONCERN NO LONGER PRESENT.",01-JAN-0001,E84,1, $80.91 , $90.65 , $44.66 ,X,This vehicle line not referenced on Ford AFW as applicable to this AF%.,,1.742465753,,,,,,,,,,,,,,,,,,
2021,0.7, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7291326,1FD7X2B61MED98489,3125,156721A,HC3Z-1A189-F,HC3Z,1A189,F,F7,21053,27-Feb-23,20-Feb-23,CA,USA,NA,26-May-21,22-Oct-21,USA,A40,OWNER REPORTS THE TPMS LIGHT STAYSO N,42,INSPECTED VEHICLE FOR CUSTOMER CONCERN OF TPMS LIGHT STAYING ON. UPON INSPECTION I WAS ABLE TO FIND THE FRONT LEFT TPMS SENSOR WAS INOPERATIVE AND NOT READING WHEN SCANNED BY THE TIRE TRAINING MACHINE. PERFORMED TPMS REPLACEMENT AS PER INSTRUCTIONS. RE INSTALLED TIRE AND PERFORMED TIRE TRAINING MODE ON VEHICLE. TPMS LIGHT NO LONGER PRESENT AT THIS TIM E.,01-JAN-0001,E84,1, $140.00 , $90.65 , $44.66 ,,,,1.331506849,,,,,,,,,,,,,,,,,,
2022,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,2885384,1FA6P8CFXN5142473,8660,39175406,F2GZ-1A189-A,F2GZ,1A189,A,ZA,14616,27-Mar-23,24-Mar-23,FL,USA,NA,28-Sep-22,09-Dec-22,USA,A40,TPMS LIGHT ON,42,TRAINED ALL WHEELS EXCEPT RR. WOULD NOT TRAIN REPLACE TPMS TRAIN ALL WHEELS OK,01-JAN-0001,E84,1, $53.94 , $90.65 , $44.66 ,,,,0.287671233,,,,,,,,,,,,,,,,,,
2021,0.5, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,7492831,1FT8W3DT8MEC45998,4589,053898A,FR3Z-1A189-C,FR3Z,1A189,C,F7,24082,15-Mar-23,14-Mar-23,TX,USA,NA,18-Dec-20,04-Jan-21,USA,A40,c/s truck tire sensor light comes on,42,RIGHT FRONT TIRE SENSOR NOT WORKING PROPERLY; CHECK TIRE SENSOR REPROGRAM RH FRONT TIRE WOULD NOT PROGRAM REPLACE RH FRONT SENSOR AND PROGRAM ROAD TEST VERIFY REPAIR,01-JAN-0001,E84,1, $69.79 , $90.55 , $44.56 ,,,,2.189041096,,,,,,,,,,,,,,,,,,
2020,0.4, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,11188224,1FA6P8CF9L5184002,416,6774343,F2GZ-1A189-A,F2GZ,1A189,A,ZA,16126,28-Apr-23,27-Apr-23,KS,USA,NA,16-Oct-20,12-Nov-20,USA,A40,FRONT LEFT TIRE PRESSURE IS NOT READING ON INFOTAINMENT.,42,VERIFIED CONCERN. TRIED TO REPROGRAM. SENSOR IS NOT RESPONDING. REPLACED LEFT FRONT TPMS SENSOR. PROGRAMMED AND RETEST. OK.,01-JAN-0001,E84,1, $51.78 , $90.37 , $44.38 ,,,,2.454794521,,,,,,,,,,,,,,,,,,
2022,0.8, $35.47 , $64.47 , $18.42 ,0,0,0,0, $99.94 ,3084317,1FT7W2BT5NEC57214,5215,129498B,HC3Z-1A189-F,HC3Z,1A189,F,F7,13099,17-Apr-23,12-Apr-23,GA,USA,NA,04-Oct-21,15-Oct-21,USA,A40,CUSTOMER STATES TPMS SENSOR LIGHT IS ON (FOUND BAD SENSOR LAST WEEK),42,"DURING MPI TECH FOUND RIGHT REAR TPMS SENSOR BAD, TECH REMOVED AND REPLACED SENSOR. VN",01-JAN-0001,E84,1, $99.52 , $90.37 , $44.38 ,,,,1.490410959,,,,,,,,,,,,,,,,,,
